LAT,LONG,GOBS
-21.52707,-54.40374,978597.14
-21.53298,-54.40604,978598.41
-21.53978,-54.40834,978600.89
-21.54749,-54.41061,978601.96
-21.55386,-54.41339,978602.19
-21.56021,-54.41569,978603.18
-21.56792,-54.41797,978604.20
-21.57429,-54.42123,978604.87
-21.57933,-54.42597,978606.47
-21.58439,-54.43216,978607.89
-21.58928,-54.42724,978606.76
-21.59144,-54.42093,978608.00
-21.59312,-54.41270,978606.85
-21.59479,-54.40446,978607.81
-21.59972,-54.40196,978610.06
-21.60368,-54.39561,978610.64
-21.60629,-54.38929,978610.32
-21.61259,-54.38773,978611.48
-21.61937,-54.38809,978612.50
-21.62064,-54.38276,978611.56
-21.61694,-54.37752,978610.19
-21.60625,-54.35792,978610.13
-21.60168,-54.35462,978609.95
-21.62441,-54.36435,978614.38
-21.63070,-54.36278,978613.11
-21.63743,-54.36025,978613.08
-21.64372,-54.35820,978610.40
-21.65181,-54.35612,978608.66
-21.65809,-54.35359,978609.41
-21.66528,-54.35153,978610.04
-21.67380,-54.34800,978611.58
-21.68233,-54.34543,978610.01
-21.67459,-54.34122,978610.53
-21.67179,-54.33548,978610.80
-21.66898,-54.32877,978611.67
-21.66396,-54.32548,978612.55
-21.65987,-54.32363,978612.63
-21.68997,-54.34287,978611.51
-21.69715,-54.34032,978612.89
-21.70478,-54.33777,978616.79
-21.71286,-54.33520,978614.17
-21.72132,-54.32780,978614.86
-21.72949,-54.33055,978617.88
-21.73802,-54.32749,978619.14
-21.74610,-54.32493,978618.70
-21.75373,-54.32237,978617.00
-21.76136,-54.31981,978617.25
-21.76900,-54.31726,978618.86
-21.77663,-54.31470,978615.05
-21.78336,-54.31264,978614.48
-21.79055,-54.31057,978611.92
-21.79728,-54.30803,978611.32
-21.80447,-54.30596,978614.76
-21.81120,-54.30342,978610.29
-21.81794,-54.30136,978607.91
-21.66492,-54.35733,978609.72
-21.67085,-54.36109,978609.03
-21.67408,-54.36586,978609.14
-21.67148,-54.37218,978609.15
-21.66886,-54.37803,978609.08
-21.66446,-54.38535,978607.90
-21.66231,-54.39215,978608.26
-21.65837,-54.39994,978608.93
-21.65487,-54.40677,978612.84
-21.65049,-54.41554,978616.47
-21.64650,-54.42044,978614.73
-21.63843,-54.42396,978615.54
-21.63125,-54.42650,978612.49
-21.62453,-54.42952,978610.86
-21.61689,-54.43206,978610.47
-21.60971,-54.43509,978610.68
-21.60389,-54.43760,978610.97
-21.59658,-54.43242,978610.76
-21.58899,-54.43787,978609.55
-21.71120,-54.34393,978614.09
-21.71624,-54.34867,978613.37
-21.72082,-54.35293,978613.76
-21.72631,-54.35766,978614.17
-21.73181,-54.36239,978614.44
-21.73636,-54.36472,978614.60
-21.74269,-54.36557,978612.64
-21.74905,-54.36836,978612.58
-21.75585,-54.36968,978611.57
-21.76310,-54.37148,978610.98
-21.76989,-54.37281,978612.54
-21.70781,-54.32950,978615.59
-21.70950,-54.32223,978616.45
-21.71118,-54.31495,978617.19
-21.71557,-54.30714,978616.97
-21.72176,-54.29929,978616.37
-21.72853,-54.29917,978616.62
-21.73044,-54.30590,978616.51
-21.73637,-54.30917,978615.49
-21.74093,-54.31198,978615.86
-21.74548,-54.31479,978616.88
-21.74959,-54.31762,978617.06
-21.75460,-54.31994,978617.34
-21.73531,-54.29952,978616.92
-21.74117,-54.29942,978616.53
-21.74749,-54.29930,978617.59
-21.75195,-54.29631,978618.76
-21.76004,-54.29423,978617.50
-21.76683,-54.29507,978616.76
-21.77100,-54.30176,978618.28
-21.77558,-54.30554,978616.88
-21.78286,-54.30927,978615.19
-21.78963,-54.30962,978613.09
-21.82377,-54.29932,978610.08
-21.83140,-54.29676,978613.89
-21.83948,-54.29419,978614.20
-21.84667,-54.29212,978611.75
-21.85295,-54.28958,978612.73
-21.86059,-54.28750,978618.23
-21.86597,-54.28547,978620.08
-21.87271,-54.28341,978623.23
-21.88034,-54.28084,978620.47
-21.88797,-54.27828,978622.11
-21.89785,-54.27519,978625.46
-21.90368,-54.27315,978626.39
-21.91177,-54.27106,978628.55
-21.91895,-54.26850,978631.90
-21.92748,-54.26592,978634.67
-21.93466,-54.26336,978637.47
-21.94365,-54.26077,978639.11
-21.82499,-54.29108,978608.52
-21.82396,-54.28336,978602.94
-21.82249,-54.27614,978601.99
-21.82192,-54.26890,978602.87
-21.81819,-54.26220,978605.61
-21.81493,-54.25598,978609.40
-21.81528,-54.24969,978613.74
-21.81425,-54.24246,978618.50
-21.80922,-54.23821,978617.54
-21.80245,-54.23834,978615.55
-21.79746,-54.23698,978618.48
-21.78983,-54.23955,978618.07
-21.78219,-54.24162,978617.60
-21.77503,-54.24514,978616.85
-21.77198,-54.25148,978615.81
-21.76940,-54.25926,978615.09
-21.76547,-54.26707,978615.21
-21.76333,-54.27436,978616.01
-21.76304,-54.28403,978615.63
-21.76631,-54.29121,978615.34
-21.83062,-54.30402,978610.78
-21.83606,-54.30585,978614.76
-21.83028,-54.31128,978612.86
-21.82540,-54.31620,978612.36
-21.82098,-54.32209,978609.29
-21.81748,-54.32892,978607.60
-21.81355,-54.33721,978608.53
-21.81232,-54.34448,978609.17
-21.81111,-54.35369,978607.44
-21.81073,-54.35805,978607.88
